block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
16,2005-02-11,0.003,4,dtr,dtr,0.18614868819713593,1.3082793951034546,0.04392346739768982,0.07517918611111178,281
17,2005-02-23,0.003,4,dtr,dtr,0.291281521320343,0.8407312631607056,0.044842831790447235,0.031696216501184905,331
18,2005-03-09,0.003,4,dtr,dtr,0.4222032129764557,2.808095932006836,0.018293682485818863,0.14425305442558467,320
19,2005-03-23,0.003,4,dtr,dtr,0.15211597084999084,1.157148838043213,0.10435072332620621,0.13972493330273977,281
0,2004-06-30,0.003,5,dtr,dtr,0.32405075430870056,0.0,0.0,0.0,332
1,2004-07-14,0.003,5,dtr,dtr,0.38221487402915955,0.589765727519989,0.04651040956377983,0.01617741871319633,213
2,2004-07-31,0.003,5,dtr,dtr,0.6397433280944824,2.501310348510742,0.024886442348361015,0.15570335697095108,195
3,2004-08-11,0.003,5,dtr,dtr,0.47934356331825256,1.4069782495498657,0.012484671548008919,0.024714503417356766,220
4,2004-08-25,0.003,5,dtr,dtr,0.3174920976161957,1.578414797782898,0.1269930899143219,0.31638973003924314,166
5,2004-09-08,0.003,5,dtr,dtr,0.4486125111579895,1.030644178390503,0.11754938960075378,0.12486418512620713,237
6,2004-09-22,0.003,5,dtr,dtr,0.2546819746494293,1.0603092908859253,0.028158795088529587,0.03165768848356676,201
7,2004-10-07,0.003,5,dtr,dtr,0.15044794976711273,2.3673222064971924,0.011205189861357212,0.06279628670490157,116
8,2004-10-20,0.003,5,dtr,dtr,0.2922252118587494,0.7426848411560059,0.16691656410694122,0.092067967503835,322
9,2004-11-03,0.003,5,dtr,dtr,0.21724829077720642,4.305335521697998,0.03580310568213463,0.6636432862241429,305
10,2004-11-17,0.003,5,dtr,dtr,0.9206594228744507,1.8594954013824463,0.22376805543899536,0.7737279850212089,328
11,2004-12-01,0.003,5,dtr,dtr,0.28740352392196655,1.149946928024292,0.205303356051445,0.27148862849043276,307
12,2004-12-17,0.003,5,dtr,dtr,0.8072109222412109,1.5976122617721558,0.006798535119742155,0.017352342675950348,237
13,2005-01-01,0.003,5,dtr,dtr,0.22002704441547394,1.4250354766845703,0.056024130433797836,0.11376966445129305,224
14,2005-01-12,0.003,5,dtr,dtr,0.7507283687591553,1.3407779932022095,0.0072462065145373344,0.013026401301858568,279
15,2005-01-26,0.003,5,dtr,dtr,0.18907533586025238,2.018606662750244,0.05493906885385513,0.22386422665890954,296
16,2005-02-11,0.003,5,dtr,dtr,0.172188401222229,1.3082793951034546,0.043995924293994904,0.07530320297077893,281
17,2005-02-23,0.003,5,dtr,dtr,0.23141281306743622,0.8407312631607056,0.056872449815273285,0.04019910006400818,331
18,2005-03-09,0.003,5,dtr,dtr,0.43640127778053284,2.808095932006836,0.0364471971988678,0.28740082950843626,320
19,2005-03-23,0.003,5,dtr,dtr,0.15792904794216156,1.157148838043213,0.10785280168056488,0.14441419322242494,281
0,2004-06-30,0.003,6,dtr,dtr,0.4842804968357086,0.0,0.0,0.0,332
1,2004-07-14,0.003,6,dtr,dtr,0.6892654299736023,0.589765727519989,0.09928476065397263,0.034533584201967726,213
2,2004-07-31,0.003,6,dtr,dtr,1.2532552480697632,2.501310348510742,0.0353049710392952,0.22088743869581265,195
3,2004-08-11,0.003,6,dtr,dtr,1.1465247869491577,1.4069782495498657,0.014005555771291256,0.02772522726292801,220
4,2004-08-25,0.003,6,dtr,dtr,0.8180506825447083,1.578414797782898,0.17235995829105377,0.4294164407691261,166
5,2004-09-08,0.003,6,dtr,dtr,0.7108264565467834,1.030644178390503,0.2184750884771347,0.2320702301026538,237
6,2004-09-22,0.003,6,dtr,dtr,0.36900028586387634,1.0603092908859253,0.040409233421087265,0.04543031473763662,201
7,2004-10-07,0.003,6,dtr,dtr,0.3161449432373047,2.3673222064971924,0.008369031362235546,0.04690184632013015,116
8,2004-10-20,0.003,6,dtr,dtr,0.4523092806339264,0.7426848411560059,0.21840257942676544,0.1204666636472,322
9,2004-11-03,0.003,6,dtr,dtr,0.34525617957115173,4.305335521697998,0.03686090558767319,0.6832505742541723,305
10,2004-11-17,0.003,6,dtr,dtr,0.9468539953231812,1.8594954013824463,0.22000163793563843,0.7607047560357139,328
11,2004-12-01,0.003,6,dtr,dtr,0.40359318256378174,1.149946928024292,0.23794876039028168,0.31465819094145053,307
12,2004-12-17,0.003,6,dtr,dtr,1.0845856666564941,1.5976122617721558,0.010233362205326557,0.026119274900602427,237
13,2005-01-01,0.003,6,dtr,dtr,0.26409125328063965,1.4250354766845703,0.03945619612932205,0.08012472767358358,224
14,2005-01-12,0.003,6,dtr,dtr,0.6779531836509705,1.3407779932022095,0.005571815650910139,0.010016372912243174,279
15,2005-01-26,0.003,6,dtr,dtr,0.2928992509841919,2.018606662750244,0.10733446478843689,0.4373635639444458,296
16,2005-02-11,0.003,6,dtr,dtr,0.18483582139015198,1.3082793951034546,0.056050825864076614,0.09593631193011333,281
17,2005-02-23,0.003,6,dtr,dtr,0.3756459951400757,0.8407312631607056,0.08121718466281891,0.057406666035703276,331
18,2005-03-09,0.003,6,dtr,dtr,0.4386662542819977,2.808095932006836,0.029082143679261208,0.2293244161326852,320
19,2005-03-23,0.003,6,dtr,dtr,0.22148145735263824,1.157148838043213,0.1750807911157608,0.23443202961581214,281
