conditional_slope,method,penalty_lambda,seed,intercept,score_slope,directional_gain,volatility,derivative_bound,jacobian_bound,residual_bound,separated_bound,mean_abs_model_derivative,mean_abs_remainder,jacobian_bound_holds,residual_bound_holds,derivative_bound_holds
0.0,dtr,0.5,50,0.8995188851304001,0.017833868471972675,0.00031804686467562103,2.930925404517704e-08,3.59206931106705e-08,0.00012889953913067337,0.00012889953913067337,0.00025779907826134675,0.0005906875585390649,0.0,True,True,True
0.0,dtr,0.5,51,0.8995483397881248,0.01258680887273581,0.00015842775759878093,1.650668984361389e-08,2.008519105264669e-08,6.420835168683943e-05,6.420835168683943e-05,0.00012841670337367887,0.0004436601684613462,0.0,True,True,True
0.0,dtr,0.5,52,1.3671833498311452,-0.0078052945153077825,6.0922622470693754e-05,8.517104806231947e-08,1.0304972917335443e-07,2.4691008877303906e-05,2.4691008877303906e-05,4.938201775460781e-05,0.001008429020327111,0.0,True,True,True
0.0,dtr,0.5,53,1.0169412324561404,0.0004534592198316387,2.0562526405031844e-07,7.992594621809058e-13,9.671211229163434e-13,8.333678056138604e-08,8.333678056138604e-08,1.6667356112277208e-07,3.0891679324322957e-06,0.0,True,True,True
0.0,dtr,0.5,54,0.8618902616293053,0.013244284750880096,0.00017541107856239505,3.748612820220584e-08,4.549766949489505e-08,7.109143241568388e-05,7.109143241568388e-05,0.00014218286483136776,0.0006687866840635039,0.0,True,True,True
0.0,dtr,0.5,55,1.098495189545912,-0.009998898875510568,9.99779787226865e-05,9.731728119646545e-09,1.181095709188205e-08,4.0519548569404226e-05,4.0519548569404226e-05,8.103909713880845e-05,0.0003407287389093048,0.0,True,True,True
0.0,dtr,0.5,56,1.3192164649512756,0.006537735374983498,4.274198383331061e-05,4.997672200466576e-08,6.04669623009918e-08,1.7322673572850787e-05,1.7322673572850787e-05,3.464534714570157e-05,0.0007724752103858626,0.0,True,True,True
0.0,dtr,0.5,57,0.7165980248675038,-0.008220599786979034,6.757826085767975e-05,8.428941640152254e-08,1.0199899114395507e-07,2.7388437514363107e-05,2.7388437514363107e-05,5.477687502872621e-05,0.0010031910091853663,0.0,True,True,True
0.0,dtr,0.5,58,0.9382672366367832,-0.0007401575419018533,5.478331868341938e-07,2.848681234016405e-11,3.4464835488415406e-11,2.2202842771437797e-07,2.2202842771437797e-07,4.4405685542875595e-07,1.844282871982646e-05,0.0,True,True,True
0.0,dtr,0.5,59,1.1415226319179177,-0.009695251369951412,9.399789912654473e-05,1.9871415097106464e-08,2.4071837752868754e-08,3.809591359757832e-05,3.809591359757832e-05,7.619182719515664e-05,0.0004870101621906794,0.0,True,True,True
0.0,dtr,0.5,60,1.1410439513762554,0.025252913389679114,0.0006377096346666347,2.1107135711041736e-07,2.5672992211465663e-07,0.00025845398001818484,0.00025845398001818484,0.0005169079600363697,0.0015861996825134153,0.0,True,True,True
0.0,dtr,0.5,61,1.4158042677985052,-0.001469880291105334,2.1605480701799017e-06,3.898377398635908e-09,4.716287871204767e-09,8.756371511471854e-07,8.756371511471854e-07,1.7512743022943709e-06,0.00021574925558986858,0.0,True,True,True
0.0,dtr,0.5,62,0.8999257552916037,-0.020590672763454314,0.0004239758048516593,8.457975212831208e-08,1.031788241067664e-07,0.00017183092153313172,0.00017183092153313172,0.00034366184306626344,0.001004011434936714,0.0,True,True,True
0.0,dtr,0.5,63,1.4662501792069476,-0.003866252754901758,1.4947910364785434e-05,3.272360656320186e-08,3.958965889954592e-08,6.058159884558518e-06,6.058159884558518e-06,1.2116319769117036e-05,0.0006250818439597252,0.0,True,True,True
0.0,dtr,0.5,64,0.6465746289594382,0.009055136657551388,8.199549988693092e-05,1.455109584503505e-07,1.7607850271185934e-07,3.323152440755606e-05,3.323152440755606e-05,6.646304881511213e-05,0.001318093996247878,0.0,True,True,True
0.0,dtr,0.5,65,0.7884764177926739,0.029573582941308386,0.0008745968079864464,4.071761062798236e-07,4.964555256872252e-07,0.00035446073517998863,0.00035446073517998863,0.0007089214703599773,0.002203136629121701,0.0,True,True,True
0.0,dtr,0.5,66,0.862209708237386,-0.00295157602169801,8.711801011862652e-06,2.379416161035223e-09,2.878997652269756e-09,3.5307599607137593e-06,3.5307599607137593e-06,7.0615199214275185e-06,0.00016855310490391677,0.0,True,True,True
0.0,dtr,0.5,67,0.7886722252192917,-0.017871814004846952,0.00031940173582384367,2.4017601300187773e-07,2.91101767092634e-07,0.0001294486477243565,0.0001294486477243565,0.000258897295448713,0.0016931333299999454,0.0,True,True,True
0.0,dtr,0.5,68,1.0982088191544603,0.008001003884102435,6.401606315342225e-05,8.89526633808871e-09,1.0776552455353508e-08,2.594473316330956e-05,2.594473316330956e-05,5.188946632661912e-05,0.00032583679471075627,0.0,True,True,True
0.0,dtr,0.5,69,0.89993099830271,-0.0031667368205096024,1.0028222090371265e-05,1.449977074275262e-09,1.7546591451941222e-09,4.06428532809862e-06,4.06428532809862e-06,8.12857065619724e-06,0.00013157550970541463,0.0,True,True,True
0.0,dtr,0.5,70,0.9384093913829218,-0.014333378980643002,0.00020544575300273862,1.5916310873399996e-08,1.944714341711856e-08,8.32640274741154e-05,8.32640274741154e-05,0.0001665280549482308,0.0004354396736611273,0.0,True,True,True
0.0,dtr,0.5,71,0.9372130270452192,-0.01709640560136278,0.0002922870844863087,2.5131369328097514e-08,3.079330058841333e-08,0.00011845949345408312,0.00011845949345408312,0.00023691898690816624,0.000546982455356052,0.0,True,True,True
0.0,dtr,0.5,72,1.1836036695642065,0.013534716722209073,0.0001831885567504459,8.3832653688619e-08,1.0152981369420676e-07,7.424352559874701e-05,7.424352559874701e-05,0.00014848705119749401,0.0010003189214399227,0.0,True,True,True
0.0,dtr,0.5,73,1.1837492365132032,-0.003786808620991211,1.4339919532013358e-05,5.51505520514701e-09,6.672824364225764e-09,5.811750481277887e-06,5.811750481277887e-06,1.1623500962555774e-05,0.00025661112201843503,0.0,True,True,True
0.0,dtr,0.5,74,0.9381024123359992,-0.007075389677876177,5.006113909379675e-05,3.1847176047054064e-09,3.864175489934089e-09,2.0289015469868776e-05,2.0289015469868776e-05,4.057803093973755e-05,0.00019493714463185863,0.0,True,True,True
0.0,dtr,0.5,75,0.9775730898733952,0.0071811339215471105,5.156868439919458e-05,1.5870249401116553e-10,2.0329078184171382e-10,2.0900000568818216e-05,2.0900000568818216e-05,4.180000113763643e-05,4.321347327954441e-05,0.0,True,True,True
0.0,dtr,0.5,76,0.6466003949937074,-0.017433312257424817,0.00030392037626487836,6.316705083734914e-07,7.647380784343085e-07,0.00012317428902472853,0.00012317428902472853,0.00024634857804945706,0.002746148297618245,0.0,True,True,True
0.0,dtr,0.5,77,1.1406709718851213,0.002964084458472755,8.785796676959726e-06,2.1916591361840836e-09,2.651749693681431e-09,3.5607492742019097e-06,3.5607492742019097e-06,7.121498548403819e-06,0.0001617660739693407,0.0,True,True,True
