lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.003,8,dtr,dtr,0.54944908618927,0.15432379163544754,0.4198058545589447,0.05745041228973193,0.39210814237594604,0.12957844138145447,0.07564793673809618,0.1780139363525139,0.8110881541959651,sensor_only_k1,subspace_ablation
0.003,9,dtr,dtr,0.43652793765068054,0.16291446521364408,0.38830727338790894,0.05380320780022017,0.31810757517814636,0.1351882964372635,0.0752773491665721,0.18213355508293844,0.743206865931077,sensor_only_k1,subspace_ablation
0.01,0,dtr,dtr,0.6870689392089844,0.2074088639226453,0.44818761944770813,0.09232758265717336,0.5006506443023682,0.13660229742527008,0.08253003945574164,0.18262030229667844,0.7880541036702432,sensor_only_k1,subspace_ablation
0.01,1,dtr,dtr,0.6185948848724365,0.21532076145040577,0.4560859501361847,0.11521627248305263,0.4093511700630188,0.1704905480146408,0.08895334028638899,0.2106490584231085,0.8001896992913474,sensor_only_k1,subspace_ablation
0.01,2,dtr,dtr,0.5535150170326233,0.16867937055127374,0.4569040834903717,0.0693331368568984,0.43622010946273804,0.1493203043937683,0.08004713312257081,0.17964721669706038,0.715058122040376,sensor_only_k1,subspace_ablation
0.01,3,dtr,dtr,0.47624844312667847,0.13676317478048391,0.4693598449230194,0.09884525544325466,0.31679823994636536,0.14719367027282715,0.07236378882080316,0.18981404994927442,0.8055538394283316,sensor_only_k1,subspace_ablation
0.01,4,dtr,dtr,0.41292381286621094,0.1673475462814857,0.3915022909641266,0.06122166036616762,0.28362980484962463,0.1624443382024765,0.07061333237215876,0.16765131784880913,0.7067329033640684,sensor_only_k1,subspace_ablation
0.01,5,dtr,dtr,0.513574481010437,0.16031592796588767,0.41077208518981934,0.05548362958109754,0.3492327630519867,0.14383460581302643,0.06415818654932082,0.15663723671136148,0.7146045554762072,sensor_only_k1,subspace_ablation
0.01,6,dtr,dtr,0.5981375575065613,0.18171968131229796,0.5186854600906372,0.08085521630312659,0.41398629546165466,0.16882270574569702,0.0842255787923932,0.196531751730086,0.7547006060032292,sensor_only_k1,subspace_ablation
0.01,7,dtr,dtr,0.41681402921676636,0.17409291102968413,0.3612334132194519,0.04426454994992494,0.27255475521087646,0.16515208780765533,0.0726780268829316,0.18084746875192634,0.7902303781831778,sensor_only_k1,subspace_ablation
0.01,8,dtr,dtr,0.5682318210601807,0.1501077619092218,0.4049568176269531,0.056884862109732315,0.39605197310447693,0.12565238773822784,0.07398851786274463,0.1749302480964437,0.7904769209537728,sensor_only_k1,subspace_ablation
0.01,9,dtr,dtr,0.4147590100765228,0.15200856307457233,0.3702772259712219,0.05008001305646685,0.2994813024997711,0.13082057237625122,0.0713998835766688,0.17520373658030558,0.7061063781698628,sensor_only_k1,subspace_ablation
0.03,0,dtr,dtr,0.5545674562454224,0.18591982249555916,0.38679295778274536,0.04944801530235986,0.37143683433532715,0.25442400574684143,0.07465378963388503,0.17650275461513593,0.6919844354200151,sensor_only_k1,subspace_ablation
0.03,1,dtr,dtr,0.5035549998283386,0.1664471724937702,0.4012829065322876,0.06363505751753815,0.32165080308914185,0.22680072486400604,0.07822314708027989,0.18190564697648126,0.7706366934549739,sensor_only_k1,subspace_ablation
