lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.03,3,dtr,dtr,0.4485984146595001,0.16256672596109326,0.5001609325408936,0.11205169662740673,0.34232333302497864,0.1700444370508194,0.05856161187402904,0.15417884000615578,0.6859811531141147,sensor_only_k2,subspace_ablation
0.03,4,dtr,dtr,0.38166725635528564,0.16182897337551774,0.40824469923973083,0.07567931779426558,0.28168386220932007,0.16873951256275177,0.0590774801094085,0.1468440324507473,0.6847110168722125,sensor_only_k2,subspace_ablation
0.03,5,dtr,dtr,0.49334874749183655,0.16186199352659028,0.49583700299263,0.0622583661533026,0.352628618478775,0.3128032684326172,0.05526130707003176,0.12416797873104927,0.6130883927909118,sensor_only_k2,subspace_ablation
0.03,6,dtr,dtr,0.6056052446365356,0.1707096839773244,0.5250038504600525,0.080860022776746,0.4378991723060608,0.15299423038959503,0.07242806025315077,0.1632535083681113,0.5732621260970356,sensor_only_k2,subspace_ablation
0.03,7,dtr,dtr,0.40963372588157654,0.17218377672392746,0.3657694458961487,0.04364712212151353,0.2752087116241455,0.1420719474554062,0.06356613822281361,0.15552832055170182,0.6545981576010724,sensor_only_k2,subspace_ablation
0.03,8,dtr,dtr,0.5634973645210266,0.17382171071808913,0.44423937797546387,0.062009444536736937,0.40484490990638733,0.14249421656131744,0.061780578002799305,0.14556202777827545,0.5912266698846984,sensor_only_k2,subspace_ablation
0.03,9,dtr,dtr,0.3896544575691223,0.16542921395137392,0.39339685440063477,0.058480390046696626,0.30581989884376526,0.13631302118301392,0.058349084993824366,0.14555238429272413,0.5365515211247645,sensor_only_k2,subspace_ablation
0.08,0,dtr,dtr,0.4807329773902893,0.15038018719903354,0.4839570224285126,0.0889883071096221,0.36478832364082336,0.32888829708099365,0.05411442879121751,0.1318740461547609,0.5912262550224603,sensor_only_k2,subspace_ablation
0.08,1,dtr,dtr,0.31535571813583374,0.18324495184010473,0.4202176034450531,0.08250944196404666,0.2281404584646225,0.16809363663196564,0.05203050833661109,0.12843391296235046,0.5415017400387047,sensor_only_k2,subspace_ablation
0.08,2,dtr,dtr,0.5038505792617798,0.16952253867839945,0.7432453036308289,0.16677561906205068,0.4505254328250885,0.2712760865688324,0.05651667995844036,0.13681832543311448,0.4400901928301855,sensor_only_k2,subspace_ablation
0.08,3,dtr,dtr,0.43426164984703064,0.14657588498345736,0.5528131723403931,0.14451961413546527,0.3325594365596771,0.22711722552776337,0.053141313744708894,0.14453057075187506,0.6601218586973252,sensor_only_k2,subspace_ablation
0.08,4,dtr,dtr,0.2796051502227783,0.14078084024889717,0.43476614356040955,0.10144704637093974,0.24259935319423676,0.19588875770568848,0.04997457215795294,0.1259061536022015,0.6123583418180483,sensor_only_k2,subspace_ablation
0.08,5,dtr,dtr,0.46671247482299805,0.14107064378672632,0.5223647952079773,0.07948681903265171,0.3577030599117279,0.47657302021980286,0.04087873212993145,0.09807323070080909,0.4299952719567934,sensor_only_k2,subspace_ablation
0.08,6,dtr,dtr,0.7266822457313538,0.1383912366012047,0.6275245547294617,0.10415435681149274,0.565138041973114,0.18849828839302063,0.05742644767742604,0.12649399526289323,0.40972937892774897,sensor_only_k2,subspace_ablation
0.08,7,dtr,dtr,0.4105789065361023,0.1437593986248148,0.5093849301338196,0.10041088576776772,0.3049732744693756,0.1606452912092209,0.054548365995287895,0.14559132477657138,0.6211962638361551,sensor_only_k2,subspace_ablation
0.08,8,dtr,dtr,0.43412232398986816,0.15606321301953546,0.5101138949394226,0.08843978452901617,0.3622547388076782,0.21202844381332397,0.0551420749980025,0.1306472398864886,0.4473818755421712,sensor_only_k2,subspace_ablation
0.08,9,dtr,dtr,0.4350062310695648,0.13486762375667177,0.5307522416114807,0.09361483703602677,0.38477566838264465,0.2131258249282837,0.04830865585245192,0.1269991646060678,0.5253395042281552,sensor_only_k2,subspace_ablation
0.0,0,standard,standard,0.576192319393158,0.23804676121678844,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512,sensor_only_k2,subspace_ablation
0.0,1,standard,standard,0.5339024662971497,0.24014300971195615,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611,sensor_only_k2,subspace_ablation
0.0,2,standard,standard,0.5773881673812866,0.20262584028572872,0.5285694599151611,0.10246372028891153,0.46604079008102417,0.17984828352928162,0.08561341818422079,0.19299958318535404,0.7848976348693673,sensor_only_k2,subspace_ablation
0.0,3,standard,standard,0.5038521885871887,0.1783759330881053,0.47765278816223145,0.08124698457713067,0.3648114502429962,0.14974942803382874,0.07398082152940333,0.18254650321786087,0.6974579533871162,sensor_only_k2,subspace_ablation
0.0,4,standard,standard,0.42038848996162415,0.20457834704168912,0.3967437148094177,0.062259327435847125,0.29537326097488403,0.15059009194374084,0.07047706849407405,0.16766466225241103,0.7042569870277824,sensor_only_k2,subspace_ablation
0.0,5,standard,standard,0.5110085010528564,0.18176901751551136,0.4098236560821533,0.05159957392145803,0.3448408842086792,0.15880370140075684,0.06871336433105171,0.17628226476196238,0.7731838906309302,sensor_only_k2,subspace_ablation
0.0,6,standard,standard,0.6695612668991089,0.21097496131370808,0.5947054624557495,0.10635126380949697,0.49238067865371704,0.2506366968154907,0.09089135467074812,0.20649662264369634,0.7599386958657647,sensor_only_k2,subspace_ablation
0.0,7,standard,standard,0.4026200473308563,0.19031721970130658,0.38039344549179077,0.04421155169237126,0.2742616534233093,0.1665870100259781,0.07861695608589798,0.20045095383724698,0.8470168811026607,sensor_only_k2,subspace_ablation
0.0,8,standard,standard,0.5816845893859863,0.17470321161993618,0.42704254388809204,0.05600211938302504,0.42732974886894226,0.13034212589263916,0.07436683275736869,0.17501667214841127,0.7978522852910875,sensor_only_k2,subspace_ablation
0.0,9,standard,standard,0.4091055989265442,0.20801481049636314,0.3779805898666382,0.0507212284984188,0.3001631498336792,0.13950321078300476,0.07460477172862738,0.18175412147450187,0.746667945151965,sensor_only_k2,subspace_ablation
0.003,0,dtr,dtr,0.5748214721679688,0.19485330252811828,0.44568297266960144,0.07506581279485294,0.4245480000972748,0.14440806210041046,0.08009576906915754,0.1763199440828977,0.8240565100256223,sensor_residual_k1,subspace_ablation
0.003,1,dtr,dtr,0.5483010411262512,0.23371626426433695,0.45398905873298645,0.09489711610462662,0.3728088438510895,0.18358388543128967,0.09039651486091316,0.21549356289545568,0.778972402746792,sensor_residual_k1,subspace_ablation
0.003,2,dtr,dtr,0.576733410358429,0.1988998840595114,0.5166935324668884,0.09338516416882843,0.453839510679245,0.17324420809745789,0.08463439636398107,0.1928386604030716,0.7638169141191996,sensor_residual_k1,subspace_ablation
0.003,3,dtr,dtr,0.526386022567749,0.1645140450576256,0.4912686049938202,0.08937912869085861,0.38903433084487915,0.1546909362077713,0.07594881686381996,0.191948358728845,0.7824909301038717,sensor_residual_k1,subspace_ablation
0.003,4,dtr,dtr,0.4398474395275116,0.1772383295256516,0.38910096883773804,0.05911303393883529,0.3131859600543976,0.15138393640518188,0.068022878956981,0.16008154023991944,0.6839219635485082,sensor_residual_k1,subspace_ablation
0.003,5,dtr,dtr,0.5094037055969238,0.17787950614403034,0.41591906547546387,0.05388600233603288,0.3483206033706665,0.15072225034236908,0.06718382206745446,0.1686231793718564,0.7529571301482321,sensor_residual_k1,subspace_ablation
0.003,6,dtr,dtr,0.6441407203674316,0.19003069647427262,0.5742263197898865,0.09627384687452523,0.4687511920928955,0.22780266404151917,0.08794112019240856,0.19938273705845616,0.7072158979236753,sensor_residual_k1,subspace_ablation
0.003,7,dtr,dtr,0.3925689160823822,0.18129595230365622,0.3767421543598175,0.043196173221604774,0.272823303937912,0.16372382640838623,0.07656127358786761,0.19569663924602243,0.83854719661808,sensor_residual_k1,subspace_ablation
0.003,8,dtr,dtr,0.5813495516777039,0.17022318346747037,0.43241947889328003,0.0579902531484081,0.4204753339290619,0.13076530396938324,0.07399523993954063,0.17473900197856312,0.7734414595567828,sensor_residual_k1,subspace_ablation
0.003,9,dtr,dtr,0.4095241129398346,0.18602378943870806,0.37909263372421265,0.05009368095898688,0.2987258732318878,0.13725914061069489,0.07401088690385223,0.18024576487894145,0.745049264340886,sensor_residual_k1,subspace_ablation
0.01,0,dtr,dtr,0.6457508206367493,0.19785634073717842,0.44670069217681885,0.07499198720600697,0.48251116275787354,0.13861574232578278,0.08071047135163098,0.18044491573084137,0.8094865278586724,sensor_residual_k1,subspace_ablation
0.01,1,dtr,dtr,0.6204171776771545,0.25084278172460095,0.4755256772041321,0.12758200183047486,0.4143226444721222,0.16381272673606873,0.08659689060878009,0.20522108858966467,0.7464195856264696,sensor_residual_k1,subspace_ablation
0.01,2,dtr,dtr,0.5705838799476624,0.18343657625132592,0.489299476146698,0.07776225648344537,0.46120232343673706,0.15894676744937897,0.07771941609680652,0.17343644345521053,0.7010448061416619,sensor_residual_k1,subspace_ablation
0.01,3,dtr,dtr,0.4615800380706787,0.16208939387880522,0.47423675656318665,0.08888402037008065,0.3370286822319031,0.1491227000951767,0.07134427707642317,0.18344167429899036,0.7369831928674381,sensor_residual_k1,subspace_ablation
0.01,4,dtr,dtr,0.4160086214542389,0.1817965688376591,0.40235617756843567,0.0665555777600044,0.2896091639995575,0.1483420580625534,0.06895055666100233,0.16309131088143078,0.6890721125898277,sensor_residual_k1,subspace_ablation
0.01,5,dtr,dtr,0.511073887348175,0.1664448590114199,0.43925729393959045,0.0597847259602978,0.35840943455696106,0.13910384476184845,0.0637221521930769,0.1528064950669292,0.708490346289541,sensor_residual_k1,subspace_ablation
0.01,6,dtr,dtr,0.6152166724205017,0.1813728957340635,0.585899293422699,0.09093133318631626,0.43274161219596863,0.19596660137176514,0.08336339064408094,0.19730470903113673,0.7730887179167519,sensor_residual_k1,subspace_ablation
0.01,7,dtr,dtr,0.3984542191028595,0.18001890840201543,0.37313100695610046,0.04342285331647465,0.27013492584228516,0.15861240029335022,0.07251645736396313,0.18054655319857055,0.7886582751494484,sensor_residual_k1,subspace_ablation
0.01,8,dtr,dtr,0.5833783149719238,0.1663445308290679,0.4407142400741577,0.060954422809671435,0.42343807220458984,0.132895827293396,0.07265029331902043,0.16896307182442538,0.7583879753293806,sensor_residual_k1,subspace_ablation
0.01,9,dtr,dtr,0.4039451777935028,0.17129902675234038,0.3859812915325165,0.05474121704173435,0.2922418415546417,0.13075226545333862,0.06816337658092379,0.1702164323675284,0.6550421406845034,sensor_residual_k1,subspace_ablation
0.03,0,dtr,dtr,0.587933361530304,0.17921511715856092,0.4374646842479706,0.07496806203562803,0.4500711262226105,0.139393150806427,0.06674876897595823,0.14881110652246138,0.619422043076839,sensor_residual_k1,subspace_ablation
0.03,1,dtr,dtr,0.4467068314552307,0.20571489005253232,0.3841981887817383,0.06236520427660067,0.29755789041519165,0.16920864582061768,0.06902376802172512,0.16618937784356283,0.72902229598842,sensor_residual_k1,subspace_ablation
0.03,2,dtr,dtr,0.5757870078086853,0.17894051814901418,0.546435534954071,0.09148176606410152,0.47076189517974854,0.17873340845108032,0.07035135412588715,0.1630750825965435,0.5788229150331352,sensor_residual_k1,subspace_ablation
0.03,3,dtr,dtr,0.43707501888275146,0.1494773108383705,0.5149742364883423,0.1282254895451639,0.3257310092449188,0.16562867164611816,0.05994753902778029,0.15840570514664715,0.7101987443042419,sensor_residual_k1,subspace_ablation
0.03,4,dtr,dtr,0.339893639087677,0.16835539258759596,0.3808242976665497,0.06561830662799653,0.2460399568080902,0.17049024999141693,0.05829581947764382,0.13642799545178616,0.5814064874447358,sensor_residual_k1,subspace_ablation
0.03,5,dtr,dtr,0.4448680877685547,0.14248635522250472,0.4477594494819641,0.06291144911984002,0.33771273493766785,0.24406017363071442,0.05402796394191682,0.1284132002898033,0.6001192640999048,sensor_residual_k1,subspace_ablation
0.03,6,dtr,dtr,0.610855221748352,0.16065153746769345,0.6021443009376526,0.09496478768999524,0.44620275497436523,0.1835024356842041,0.0748652984853834,0.17629930873557692,0.6545623714129919,sensor_residual_k1,subspace_ablation
0.03,7,dtr,dtr,0.4041391909122467,0.1624290499193915,0.373895525932312,0.04603508109438682,0.2816481292247772,0.1399441659450531,0.06124920272268355,0.14835697168200035,0.6690157315098364,sensor_residual_k1,subspace_ablation
0.03,8,dtr,dtr,0.5463050603866577,0.16475084074612323,0.44719499349594116,0.06478230243839254,0.39294588565826416,0.13958874344825745,0.06467377421213313,0.15050208539835166,0.6267719029896095,sensor_residual_k1,subspace_ablation
0.03,9,dtr,dtr,0.38670068979263306,0.16225600900321172,0.41023513674736023,0.06289698082461673,0.29938846826553345,0.13998308777809143,0.05862139584496617,0.14563379058605458,0.5198148576774125,sensor_residual_k1,subspace_ablation
0.08,0,dtr,dtr,0.43890437483787537,0.14110236661187534,0.49143165349960327,0.09916261978115944,0.37458130717277527,0.2793504595756531,0.0552288158563897,0.13668578709861884,0.6393698322407299,sensor_residual_k1,subspace_ablation
0.08,1,dtr,dtr,0.40813031792640686,0.1708568309915477,0.4548359215259552,0.08575158059160129,0.3002188801765442,0.18121874332427979,0.05360051961615682,0.12582625587844948,0.5110652527329923,sensor_residual_k1,subspace_ablation
0.08,2,dtr,dtr,0.4597420394420624,0.1578202296947611,0.7399517297744751,0.13502558109922852,0.40291568636894226,0.29291313886642456,0.05555315266828984,0.12853835479203948,0.38231232863897474,sensor_residual_k1,subspace_ablation
0.08,3,dtr,dtr,0.4035990834236145,0.13433957757620976,0.5735601782798767,0.16312966585978658,0.3223547339439392,0.20246177911758423,0.05478212772868574,0.15069706886707743,0.6812393065409026,sensor_residual_k1,subspace_ablation
0.08,4,dtr,dtr,0.3193082809448242,0.14209961069041285,0.4020281732082367,0.07927159424402361,0.2706930339336395,0.18489035964012146,0.04853799636475742,0.10948229617595426,0.4711501475778972,sensor_residual_k1,subspace_ablation
0.08,5,dtr,dtr,0.47055354714393616,0.13382917601486732,0.5277526378631592,0.0877747404121716,0.3734055161476135,0.31246107816696167,0.038709932425990703,0.0894244845985862,0.40705800943411485,sensor_residual_k1,subspace_ablation
0.08,6,dtr,dtr,0.7408106923103333,0.13291587336310026,0.7257905006408691,0.12722895098317236,0.5923873782157898,0.21696268022060394,0.06153527880087495,0.1427710243006726,0.5143774537287149,sensor_residual_k1,subspace_ablation
0.08,7,dtr,dtr,0.42406901717185974,0.13379296598763302,0.5499953627586365,0.09966574042520795,0.3379693031311035,0.16664041578769684,0.05304787498898804,0.1329352843701059,0.5381249412146523,sensor_residual_k1,subspace_ablation
0.08,8,dtr,dtr,0.4755108952522278,0.14034860874044483,0.5480982661247253,0.09469553839773817,0.4031595289707184,0.1798737794160843,0.0564458049251698,0.1341597062772269,0.4685309835720545,sensor_residual_k1,subspace_ablation
0.08,9,dtr,dtr,0.46515950560569763,0.13477823980923356,0.564816415309906,0.10558107771724308,0.4089514911174774,0.19792380928993225,0.048179556941613556,0.12276882741480485,0.5125789397650488,sensor_residual_k1,subspace_ablation
0.0,0,standard,standard,0.576192319393158,0.21155482653913826,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512,sensor_residual_k1,subspace_ablation
0.0,1,standard,standard,0.5339024662971497,0.2266017354767898,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611,sensor_residual_k1,subspace_ablation
0.0,2,standard,standard,0.5773881673812866,0.19541917340508821,0.5285694599151611,0.10246372028891153,0.46604079008102417,0.17984828352928162,0.08561341818422079,0.19299958318535404,0.7848976348693673,sensor_residual_k1,subspace_ablation
0.0,3,standard,standard,0.5038521885871887,0.16767732028303475,0.47765278816223145,0.08124698457713067,0.3648114502429962,0.14974942803382874,0.07398082152940333,0.18254650321786087,0.6974579533871162,sensor_residual_k1,subspace_ablation
0.0,4,standard,standard,0.42038848996162415,0.18728164804392847,0.3967437148094177,0.062259327435847125,0.29537326097488403,0.15059009194374084,0.07047706849407405,0.16766466225241103,0.7042569870277824,sensor_residual_k1,subspace_ablation
0.0,5,standard,standard,0.5110085010528564,0.17702738169966073,0.4098236560821533,0.05159957392145803,0.3448408842086792,0.15880370140075684,0.06871336433105171,0.17628226476196238,0.7731838906309302,sensor_residual_k1,subspace_ablation
0.0,6,standard,standard,0.6695612668991089,0.19465970006482355,0.5947054624557495,0.10635126380949697,0.49238067865371704,0.2506366968154907,0.09089135467074812,0.20649662264369634,0.7599386958657647,sensor_residual_k1,subspace_ablation
0.0,7,standard,standard,0.4026200473308563,0.18763189315795897,0.38039344549179077,0.04421155169237126,0.2742616534233093,0.1665870100259781,0.07861695608589798,0.20045095383724698,0.8470168811026607,sensor_residual_k1,subspace_ablation
0.0,8,standard,standard,0.5816845893859863,0.16664715964218665,0.42704254388809204,0.05600211938302504,0.42732974886894226,0.13034212589263916,0.07436683275736869,0.17501667214841127,0.7978522852910875,sensor_residual_k1,subspace_ablation
0.0,9,standard,standard,0.4091055989265442,0.1903908713110562,0.3779805898666382,0.0507212284984188,0.3001631498336792,0.13950321078300476,0.07460477172862738,0.18175412147450187,0.746667945151965,sensor_residual_k1,subspace_ablation
0.003,0,dtr,dtr,0.630641520023346,0.2870214133427061,0.46202975511550903,0.08907695728746914,0.47077032923698425,0.1514977216720581,0.08580710657406598,0.18952139155185893,0.8637972467301176,sensor_residual_k2,subspace_ablation
0.003,1,dtr,dtr,0.541553258895874,0.2866398383831156,0.44707345962524414,0.09064288803801634,0.36772873997688293,0.17633453011512756,0.08754218167159707,0.21006457599275294,0.758438372382166,sensor_residual_k2,subspace_ablation
0.003,2,dtr,dtr,0.4967096745967865,0.24958728921824488,0.46490272879600525,0.06825143097817025,0.3840153217315674,0.16474004089832306,0.08197614883538336,0.1904981781861543,0.765532048026737,sensor_residual_k2,subspace_ablation
0.003,3,dtr,dtr,0.49155503511428833,0.23310954324130354,0.46766597032546997,0.08153433142051691,0.35593467950820923,0.15000364184379578,0.07344590392895042,0.18515436882693187,0.7307848396208302,sensor_residual_k2,subspace_ablation
0.003,4,dtr,dtr,0.41825854778289795,0.2170276608960382,0.3899982273578644,0.06003021875667609,0.29000377655029297,0.15201584994792938,0.0679195701610297,0.15944068241770887,0.6734618108719798,sensor_residual_k2,subspace_ablation
0.003,5,dtr,dtr,0.5170796513557434,0.21416313894863787,0.4197450280189514,0.054778857873654475,0.35410815477371216,0.14685073494911194,0.06740407042670996,0.16743780209662232,0.7565294498794052,sensor_residual_k2,subspace_ablation
0.003,6,dtr,dtr,0.6224913597106934,0.26668604817883723,0.5756875276565552,0.08948396835810465,0.4422891438007355,0.23238715529441833,0.08802919425070285,0.20444495087946865,0.7715822868928671,sensor_residual_k2,subspace_ablation
0.003,7,dtr,dtr,0.40999636054039,0.19507965055005302,0.3787776529788971,0.04397070833420323,0.28495678305625916,0.16527101397514343,0.07668990900274367,0.1943765455046351,0.8418232528318192,sensor_residual_k2,subspace_ablation
0.003,8,dtr,dtr,0.5829227566719055,0.2613579717175714,0.43048083782196045,0.05805390858589843,0.42022162675857544,0.1295582354068756,0.07463141328189522,0.17713205059460485,0.7811512152381229,sensor_residual_k2,subspace_ablation
0.003,9,dtr,dtr,0.40195611119270325,0.25715479357489224,0.3793128728866577,0.05071570890611088,0.2940742075443268,0.13620324432849884,0.07391791746485979,0.17978077111260668,0.7394818803212679,sensor_residual_k2,subspace_ablation
0.01,0,dtr,dtr,0.5360199809074402,0.2528390719972808,0.4139349162578583,0.06101375568808933,0.37408140301704407,0.1423620581626892,0.08126976354978979,0.1855275683839955,0.8639939141816038,sensor_residual_k2,subspace_ablation
0.01,1,dtr,dtr,0.591713547706604,0.28398649610322096,0.46533334255218506,0.11696937566604589,0.39239630103111267,0.16709166765213013,0.08665637131780386,0.2048239501962114,0.7512880729449055,sensor_residual_k2,subspace_ablation
0.01,2,dtr,dtr,0.5308248400688171,0.2393326923764985,0.47728386521339417,0.06933527970900036,0.4229004681110382,0.15851156413555145,0.0782587573863566,0.1771685290903386,0.7108632882539617,sensor_residual_k2,subspace_ablation
0.01,3,dtr,dtr,0.44830647110939026,0.221119709672599,0.4623008370399475,0.08958405055589337,0.3066435158252716,0.1470312774181366,0.07124379845336079,0.18400960074325062,0.738712729806164,sensor_residual_k2,subspace_ablation
0.01,4,dtr,dtr,0.3823867738246918,0.21549445842874462,0.38633960485458374,0.062260462612362136,0.2646283507347107,0.14852574467658997,0.06761363039258868,0.15753405184882519,0.6327069684744265,sensor_residual_k2,subspace_ablation
0.01,5,dtr,dtr,0.510611355304718,0.19538742591594827,0.43568533658981323,0.05912251537567871,0.3580762445926666,0.14113634824752808,0.06319154305383563,0.15338094791946527,0.6934949812356459,sensor_residual_k2,subspace_ablation
0.01,6,dtr,dtr,0.5506898164749146,0.23566341893426304,0.5302706956863403,0.0778009245128618,0.38253358006477356,0.17610323429107666,0.08230383517220616,0.19096320410186368,0.7105423453665288,sensor_residual_k2,subspace_ablation
0.01,7,dtr,dtr,0.3867804706096649,0.19204222909335433,0.3672938048839569,0.04370962059076456,0.26175469160079956,0.15774087607860565,0.0716025041649118,0.17634359391818213,0.7808964801372198,sensor_residual_k2,subspace_ablation
0.01,8,dtr,dtr,0.5365537405014038,0.23825914448705213,0.41580331325531006,0.05425247111101792,0.37910085916519165,0.1275699883699417,0.07075264772865922,0.1666098345759472,0.7489057394283458,sensor_residual_k2,subspace_ablation
0.01,9,dtr,dtr,0.39771580696105957,0.24324905790131668,0.38616758584976196,0.05548485138941901,0.2833375036716461,0.13020683825016022,0.06927128746174276,0.1709811179299554,0.6532179818025503,sensor_residual_k2,subspace_ablation
0.03,0,dtr,dtr,0.5977439284324646,0.21570622838776687,0.4302307963371277,0.06453173292043325,0.4270418584346771,0.1593937873840332,0.06451094346120953,0.14737942149800365,0.5753398865499122,sensor_residual_k2,subspace_ablation
0.03,1,dtr,dtr,0.43236643075942993,0.2309763743959624,0.3883320689201355,0.06374712267903856,0.28341126441955566,0.16362524032592773,0.0715263654012233,0.1694638854731884,0.7447798158462994,sensor_residual_k2,subspace_ablation
0.03,2,dtr,dtr,0.47301173210144043,0.2142816872432314,0.48319950699806213,0.07095733465457875,0.3811907172203064,0.15861867368221283,0.06934503300581127,0.16156909043469542,0.5882910333335132,sensor_residual_k2,subspace_ablation
0.03,3,dtr,dtr,0.3797512352466583,0.18958281155290274,0.46530988812446594,0.10420730940946413,0.2734476923942566,0.15810443460941315,0.06301860981620848,0.16602573596432663,0.7331913590383866,sensor_residual_k2,subspace_ablation
0.03,4,dtr,dtr,0.33498135209083557,0.178757434055723,0.38570666313171387,0.06858597042661958,0.24973656237125397,0.17311599850654602,0.057573036500252785,0.1365507435143573,0.6027191443323414,sensor_residual_k2,subspace_ablation
0.03,5,dtr,dtr,0.433388888835907,0.1681338671980233,0.4431416094303131,0.06129741349351803,0.32095634937286377,0.24261805415153503,0.05030751163139939,0.12101646075086896,0.5858765114284719,sensor_residual_k2,subspace_ablation
0.03,6,dtr,dtr,0.5302250385284424,0.18904314369990907,0.5439950823783875,0.0838337151293987,0.37634924054145813,0.17360644042491913,0.07150665500666946,0.16416836583799535,0.5725657688343816,sensor_residual_k2,subspace_ablation
0.03,7,dtr,dtr,0.3608604371547699,0.16783879707599508,0.36636829376220703,0.045755568840982884,0.2502482831478119,0.14045551419258118,0.06100200489163399,0.14717365953894887,0.6567113151037711,sensor_residual_k2,subspace_ablation
0.03,8,dtr,dtr,0.4177587628364563,0.224038683134934,0.40354663133621216,0.05667807863037462,0.2930413782596588,0.13552086055278778,0.06237797187641263,0.1488722806681934,0.6178633878305967,sensor_residual_k2,subspace_ablation
0.03,9,dtr,dtr,0.331837922334671,0.1990996558090736,0.3822439908981323,0.05764398794404248,0.2543027400970459,0.13641007244586945,0.057497257250361145,0.14557655225115967,0.546690143699901,sensor_residual_k2,subspace_ablation
0.08,0,dtr,dtr,0.36413928866386414,0.15524884421249915,0.47514986991882324,0.10266965537267729,0.29083454608917236,0.3239215612411499,0.055954716680571434,0.1433848987293588,0.6716144718005647,sensor_residual_k2,subspace_ablation
0.08,1,dtr,dtr,0.29136404395103455,0.19837813541806978,0.40722712874412537,0.07588853592280734,0.21248182654380798,0.16902947425842285,0.05525680012069643,0.12938260819862152,0.5382815849063319,sensor_residual_k2,subspace_ablation
0.08,2,dtr,dtr,0.4221881330013275,0.18341754387164938,0.6382114291191101,0.10418520735026242,0.3646666705608368,0.25996309518814087,0.058591324428562075,0.13012770824560085,0.4269135130864008,sensor_residual_k2,subspace_ablation
0.08,3,dtr,dtr,0.3180476725101471,0.15071209545793204,0.5153919458389282,0.13669909605823824,0.24505546689033508,0.24052803218364716,0.05071798802819103,0.13415747309887066,0.5980995191980859,sensor_residual_k2,subspace_ablation
0.08,4,dtr,dtr,0.293876588344574,0.14432665726234173,0.4184574484825134,0.0853359811451325,0.24057893455028534,0.19091688096523285,0.05266362212132662,0.12307392369915107,0.5358438196124321,sensor_residual_k2,subspace_ablation
0.08,5,dtr,dtr,0.449432373046875,0.1471266171027874,0.5494251251220703,0.08331899876085429,0.35052645206451416,0.377625972032547,0.03938015564344823,0.0870457110232501,0.40351134869975597,sensor_residual_k2,subspace_ablation
0.08,6,dtr,dtr,0.5989078283309937,0.14768187095379007,0.6396183967590332,0.10758482498471751,0.4661549925804138,0.1964295208454132,0.05602428517304361,0.12460867609275932,0.3955392699264646,sensor_residual_k2,subspace_ablation
0.08,7,dtr,dtr,0.3654658794403076,0.1388677218864704,0.5028306841850281,0.09007949184760383,0.2870928943157196,0.156897634267807,0.054673125687986615,0.1364139203141081,0.5380109369232866,sensor_residual_k2,subspace_ablation
0.08,8,dtr,dtr,0.342233806848526,0.17209374000286234,0.49884268641471863,0.09026325845508953,0.288370281457901,0.1626579314470291,0.05742094352608547,0.13701583010145457,0.5126543040685786,sensor_residual_k2,subspace_ablation
0.08,9,dtr,dtr,0.6132779717445374,0.17212794402550008,0.5434459447860718,0.09008696519534391,0.46356919407844543,0.19990162551403046,0.05210606931941584,0.11533060261376105,0.36165731192040473,sensor_residual_k2,subspace_ablation
0.0,0,standard,standard,0.576192319393158,0.3007972618629193,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512,sensor_residual_k2,subspace_ablation
0.0,1,standard,standard,0.5339024662971497,0.28675971524468785,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611,sensor_residual_k2,subspace_ablation
0.0,2,standard,standard,0.5773881673812866,0.2563962508892191,0.5285694599151611,0.10246372028891153,0.46604079008102417,0.17984828352928162,0.08561341818422079,0.19299958318535404,0.7848976348693673,sensor_residual_k2,subspace_ablation
0.0,3,standard,standard,0.5038521885871887,0.23681388723439184,0.47765278816223145,0.08124698457713067,0.3648114502429962,0.14974942803382874,0.07398082152940333,0.18254650321786087,0.6974579533871162,sensor_residual_k2,subspace_ablation
0.0,4,standard,standard,0.42038848996162415,0.2408562397134715,0.3967437148094177,0.062259327435847125,0.29537326097488403,0.15059009194374084,0.07047706849407405,0.16766466225241103,0.7042569870277824,sensor_residual_k2,subspace_ablation
0.0,5,standard,standard,0.5110085010528564,0.22271749233377391,0.4098236560821533,0.05159957392145803,0.3448408842086792,0.15880370140075684,0.06871336433105171,0.17628226476196238,0.7731838906309302,sensor_residual_k2,subspace_ablation
0.0,6,standard,standard,0.6695612668991089,0.3039417398386988,0.5947054624557495,0.10635126380949697,0.49238067865371704,0.2506366968154907,0.09089135467074812,0.20649662264369634,0.7599386958657647,sensor_residual_k2,subspace_ablation
