dataset_key,dataset,seed,block,block_order,risk,s2,gain,h_raw,risk_prev,risk_next,abs_change_same,sq_change_same,abs_change_next,sq_change_next,h_roll2,h_roll3,log_s2,log_gain,log_h,log_h_roll2,log_h_roll3
air_quality,Air Quality,7,16,16,0.2011959552764892,1.711594975652261,0.048916820436716,0.08372578408436696,0.1944684088230133,0.2456220686435699,0.006727546453475897,4.5259881283676116e-05,0.04442611336708069,0.0019736795489047054,0.2168724458304307,0.15035718906443898,0.5374256700883856,-3.017633965416161,-2.4802082953277753,-1.7649879141145082,-2.5284946182923704
air_quality,Air Quality,7,17,17,0.2456220686435699,0.7068290568557956,0.0622994042932987,0.04403502917931022,0.2011959552764892,0.4246652722358703,0.04442611336708069,0.0019736795489047054,0.17904320359230042,0.032056468752593936,0.06388040663183861,0.15925997361339053,-0.3469664289447142,-2.775803415123711,-3.1227698440684253,-2.8014890696981007,-2.2175818907658136
air_quality,Air Quality,7,18,18,0.4246652722358703,7.885402763353341,0.0467899590730667,0.36895767257194984,0.2456220686435699,0.1671099066734314,0.17904320359230042,0.032056468752593936,0.2575553655624389,0.06633476633000154,0.20649635087563006,0.1655728286118757,2.065013298800313,-3.062086648777045,-0.9970733499767319,-2.059921597022579,-2.200017163124311
air_quality,Air Quality,7,19,19,0.1671099066734314,1.3389934333847577,0.1570862680673599,0.21033748141711267,0.4246652722358703,,0.2575553655624389,0.06633476633000154,,,0.28964757699453125,0.20777672772279096,0.29191816257883085,-1.850960146399246,-1.559041983820415,-1.278057666898574,-1.8929617259551907
air_quality,Air Quality,8,0,0,0.4237631261348724,,,,,0.5273353457450867,,,0.10357221961021429,0.010727204674986458,,,,,,,
air_quality,Air Quality,8,1,1,0.5273353457450867,0.3478236133571819,0.0632578283548355,0.022002566431507282,0.4237631261348724,0.8061057925224304,0.10357221961021429,0.010727204674986458,0.27877044677734375,0.07771296199643984,,,-1.0560597858698284,-2.7605363905614855,-3.8165961764313137,,
air_quality,Air Quality,8,2,2,0.8061057925224304,6.2565534595669305,0.0303444173187017,0.1898514691538658,0.5273353457450867,0.5692744255065918,0.27877044677734375,0.07771296199643984,0.23683136701583862,0.056089096402590854,0.10592701779268654,,1.833629467930906,-3.495142721733951,-1.6615132538030448,-2.739054715117179,
air_quality,Air Quality,8,3,3,0.5692744255065918,1.9795877947064036,0.0047352025285363,0.00937374913095336,0.8061057925224304,0.4734807312488556,0.23683136701583862,0.056089096402590854,0.0957936942577362,0.009176431859544643,0.09961260914240957,0.07374259490544215,0.6828886385418343,-5.352730780389494,-4.669842141847659,-3.165677697825352,-3.3826505240273392
air_quality,Air Quality,8,4,4,0.4734807312488556,2.4913932738600266,0.1253554373979568,0.3123096935750512,0.5692744255065918,0.5112240314483643,0.0957936942577362,0.009176431859544643,0.03774330019950867,0.001424556709950231,0.16084172135300226,0.17051163728662344,0.9128421017235068,-2.076602077584622,-1.1637599758611152,-2.916801058854387,-2.4983717905039398
air_quality,Air Quality,8,5,5,0.5112240314483643,1.0622274224502348,0.1741483360528946,0.18498513812946352,0.4734807312488556,0.2251932770013809,0.03774330019950867,0.001424556709950231,0.28603075444698334,0.08181359248951048,0.24864741585225736,0.16888952694515602,0.06036804532819432,-1.7478478368876387,-1.6874797915594444,-1.4256198837102798,-2.5070273030894064
air_quality,Air Quality,8,6,6,0.2251932770013809,1.1242557923390137,0.0463185794651508,0.05207393125661068,0.5112240314483643,0.1662862449884414,0.28603075444698334,0.08181359248951048,0.05890703201293948,0.003470038420573477,0.11852953469303709,0.18312292098704178,0.11712129883687389,-3.072212114016879,-2.955090815180005,-2.3212853033697245,-1.9354435275335213
air_quality,Air Quality,8,7,7,0.1662862449884414,5.604214429374736,0.0063803042285144,0.03575659302124104,0.2251932770013809,0.2831557393074035,0.05890703201293948,0.003470038420573477,0.1168694943189621,0.013658478702369914,0.04391526213892586,0.09093855413577175,1.723518891371516,-5.054539497885461,-3.331020606513945,-3.143055710846975,-2.6578637377511316
air_quality,Air Quality,8,8,8,0.2831557393074035,0.5515807732829217,0.1840485036373138,0.10151761595783415,0.1662862449884414,0.2303532361984253,0.1168694943189621,0.013658478702369914,0.052802503108978216,0.002788104334573654,0.0686371044895376,0.06311604674522862,-0.5949669899360358,-1.6925559493813345,-2.28752293931737,-2.8092717729156576,-2.857878120337107
air_quality,Air Quality,8,9,9,0.2303532361984253,18.535913954394573,0.0296763908118009,0.5500790265645272,0.2831557393074035,0.8471406102180481,0.052802503108978216,0.002788104334573654,0.6167873740196228,0.38042666475002207,0.3257983212611807,0.2291177451812008,2.9197101450387852,-3.517403471419531,-0.5976933263807456,-1.4426081328490579,-2.07207895740402
air_quality,Air Quality,8,10,10,0.8471406102180481,3.457723147762465,0.2313756644725799,0.800032990875761,0.2303532361984253,0.3112693428993225,0.6167873740196228,0.38042666475002207,0.5358712673187256,0.28715801513777706,0.675056008720144,0.48387654446604084,1.2406103226804996,-1.4637126362456845,-0.22310231356518484,-0.4103978199729652,-1.0361061930877669
air_quality,Air Quality,8,11,11,0.3112693428993225,1.3223779372725062,0.1978349536657333,0.26161257794889425,0.8471406102180481,0.8839964866638184,0.5358712673187256,0.28715801513777706,0.5727271437644958,0.3280163812046375,0.5308227844123277,0.5372415317963942,0.2794315835330399,-1.620322163237772,-1.3408905797047321,-0.7819964466349585,-0.7205620732168875
air_quality,Air Quality,8,12,12,0.8839964866638184,2.552364938964743,0.0123234717175364,0.031453997138163534,0.3112693428993225,0.202855184674263,0.5727271437644958,0.3280163812046375,0.6811413019895554,0.46395347327602665,0.1465332875435289,0.3643665219876062,0.937020356420977,-4.396249565237865,-3.4592292088168874,-2.40005989426081,-1.6744073673622681
