basis,dataset,deploy_mse,initial_risk,lambda,max_hazard,mean_gain,mean_hazard,method,seed,terminal_risk,val_directional_gain,val_mse,volatility
oracle_deployment,Air Quality,0.4347832202911377,0.510749340057373,0.08,0.7023849992463529,0.0771870035445317,0.1770653519539706,dtr,0,0.1354057043790817,0.0337233461182693,0.6868136525154114,0.0792404508606572
oracle_deployment,Air Quality,0.4425705671310425,0.4346793293952942,0.08,0.6258810737378542,0.075597557472065,0.1721779797329211,dtr,1,0.1400110125541687,0.0136860241150033,0.5916101336479187,0.1053667159694831
oracle_deployment,Air Quality,0.4965935051441192,0.4927489459514618,0.08,0.6579381552104874,0.0783716103527694,0.1785259196033957,dtr,2,0.1481395959854126,0.0108723121470418,0.6064693927764893,0.0932953959839726
oracle_deployment,Air Quality,0.4373563230037689,0.4273399412631988,0.08,0.6116860548521268,0.0671359290601685,0.1629803013907442,dtr,3,0.1386481523513794,0.0079740894251856,0.5646286606788635,0.0724076805638653
oracle_deployment,Air Quality,0.4440134763717651,0.3220938146114349,0.08,0.9049567428866772,0.0746275477111339,0.1908513548279796,dtr,4,0.1518386155366897,0.0092672061303566,0.4336532056331634,0.0737939692986984
oracle_deployment,Air Quality,0.4200192391872406,0.3914152085781097,0.08,0.6581784120421038,0.0598540293518453,0.1366682496364108,dtr,5,0.1738190650939941,0.0080483817848665,0.5350582003593445,0.0573425139686059
oracle_deployment,Air Quality,0.5163854956626892,0.5221924185752869,0.08,0.6588101489094529,0.0791258238721639,0.1805356601695528,dtr,6,0.144961729645729,0.0128057284601803,0.6895641088485718,0.1069570957085091
oracle_deployment,Air Quality,0.391022652387619,0.3458470702171325,0.08,0.7080438385257006,0.0730530424974858,0.1799385001779792,dtr,7,0.1423718780279159,0.0347429481045953,0.4720928966999054,0.0428223219355585
oracle_deployment,Air Quality,0.4842305779457092,0.5376154780387878,0.08,0.6575237469547098,0.0740077593829482,0.1669169600687599,dtr,8,0.124442346394062,0.0074517528558599,0.7092100977897644,0.095094863281942
oracle_deployment,Air Quality,0.3970635235309601,0.3617393970489502,0.08,0.6629494912509496,0.0702661246294155,0.1696329500076581,dtr,9,0.1302571892738342,0.0079643508483623,0.4470177590847015,0.0650541468473242
prospective_predeployment,Air Quality,0.4666302502155304,0.485804945230484,0.003,0.9084266921409024,0.0862364722648635,0.1882644919784499,dtr,0,0.1455953270196914,0.1039325664783346,0.6499888300895691,0.0963686875528785
prospective_predeployment,Air Quality,0.4425413012504577,0.3513740599155426,0.003,0.8302316599352076,0.0920739873312413,0.2211720605916708,dtr,1,0.1883084326982498,0.0433809749011335,0.525160014629364,0.0888808377518059
prospective_predeployment,Air Quality,0.516907274723053,0.4723057150840759,0.003,0.7720676212213292,0.0840928281191736,0.1900772788573285,dtr,2,0.1718432009220123,0.0217659206225954,0.5908714532852173,0.0991998929026657
prospective_predeployment,Air Quality,0.4775326251983642,0.3803288340568542,0.003,0.7953881920835261,0.0780193753074854,0.1957552551700857,dtr,3,0.1505853831768036,0.0145100489772599,0.5144389271736145,0.0811922811321866
prospective_predeployment,Air Quality,0.3833505809307098,0.2835979163646698,0.003,0.7029775978633829,0.0683112723985686,0.1624235281064595,dtr,4,0.155435711145401,0.0248458837640696,0.3948877155780792,0.0578537881403391
prospective_predeployment,Air Quality,0.4004168808460235,0.3351285457611084,0.003,0.778151791863532,0.0684886258328333,0.1726915657756882,dtr,5,0.1518992036581039,0.032911604642868,0.4965265691280365,0.0506117380221238
prospective_predeployment,Air Quality,0.5807218551635742,0.4989745318889618,0.003,0.7434799436080161,0.0899283148581162,0.2021997971278396,dtr,6,0.233988270163536,0.0205768759908347,0.6825118660926819,0.1080088054891408
prospective_predeployment,Air Quality,0.3777726590633392,0.2862574458122253,0.003,0.8444492296021734,0.077683310280554,0.1962762490790805,dtr,7,0.1666961014270782,0.0475793123245239,0.4118349254131317,0.0449643014488834
prospective_predeployment,Air Quality,0.4276914894580841,0.423673152923584,0.003,0.803906984153817,0.07517114225775,0.1781478269748825,dtr,8,0.1280334144830703,0.0159276115483251,0.5893587470054626,0.0583317298032033
prospective_predeployment,Air Quality,0.3801609575748443,0.3003771901130676,0.003,0.7443699707384775,0.0747432730859145,0.182727178453151,dtr,9,0.1385167390108108,0.0207580373204987,0.4084925651550293,0.0515743212167203
prospective_predeployment,Air Quality,0.4673220813274383,0.5081644654273987,0.01,0.9280335662969488,0.0893068301491439,0.1931835743989569,dtr,0,0.1411793231964111,0.0864545937242179,0.6877896785736084,0.1073277688011654
prospective_predeployment,Air Quality,0.4556596577167511,0.4027436971664428,0.01,0.7700794465553245,0.0912524277810007,0.2133300674167706,dtr,1,0.1753633916378021,0.0348953962326049,0.6136226058006287,0.106496858753705
prospective_predeployment,Air Quality,0.4700266122817993,0.4243975579738617,0.01,0.791537801966636,0.0841121763456612,0.1949089150511274,dtr,2,0.1586931645870208,0.0143591880798339,0.5450392961502075,0.077932643018053
prospective_predeployment,Air Quality,0.4593029618263244,0.3907229006290436,0.01,0.6839044244267597,0.0761945133097469,0.1850669234935097,dtr,3,0.1446412801742553,0.0121237307786941,0.5401674509048462,0.0792415244937339
prospective_predeployment,Air Quality,0.3968196213245392,0.298427015542984,0.01,0.7780687236667783,0.0742921612691134,0.1795493965408314,dtr,4,0.1606072038412094,0.0178402660221889,0.4450423717498779,0.0607606627122509
prospective_predeployment,Air Quality,0.4176944494247436,0.3744305670261383,0.01,0.7552575261939489,0.0685890009393915,0.1690555081276851,dtr,5,0.1496862024068832,0.0243844264540179,0.548846423625946,0.057762510690469
prospective_predeployment,Air Quality,0.534072995185852,0.4728351235389709,0.01,0.6989794376729742,0.0872097912477329,0.1982268459375758,dtr,6,0.19276924431324,0.0155999427211695,0.6497743129730225,0.0929078807003776
prospective_predeployment,Air Quality,0.3800336420536041,0.2983026802539825,0.01,0.8871360107240315,0.0799361784011125,0.1969201554996581,dtr,7,0.1702501326799392,0.0371835350990295,0.4326214790344238,0.0514171807761653
prospective_predeployment,Air Quality,0.4420870840549469,0.4385668337345123,0.01,0.8103997408296286,0.077423352736514,0.1804616658915658,dtr,8,0.1298474371433258,0.0178887019897329,0.6040255427360535,0.0678323419453344
prospective_predeployment,Air Quality,0.3702313005924225,0.294838398694992,0.01,0.744116678312094,0.0740970130544155,0.1820076219690706,dtr,9,0.1357191950082779,0.0170222095374403,0.4120268523693084,0.0497947324656756
prospective_predeployment,Air Quality,0.4595628678798675,0.5143107771873474,0.03,0.9512602138710478,0.0936694381991401,0.2062448422985789,dtr,0,0.1551363915205001,0.0786506603504049,0.6974287629127502,0.0997807474414482
prospective_predeployment,Air Quality,0.4192391633987427,0.3987827897071838,0.03,0.7168309114046105,0.0833544448949396,0.194511764865516,dtr,1,0.1672165840864181,0.0212173798988605,0.6024438142776489,0.0757920476302698
prospective_predeployment,Air Quality,0.4949567019939422,0.5258815884590149,0.03,0.7916360068821542,0.0859148629242554,0.1946526966992026,dtr,2,0.1496223360300064,0.0117464155986391,0.6551921963691711,0.1063964504768149
prospective_predeployment,Air Quality,0.437414675951004,0.3836113810539245,0.03,0.7404712684422694,0.0767275262624025,0.1891773536838803,dtr,3,0.1425734311342239,0.009942045910605,0.5413075685501099,0.0738758107051882
prospective_predeployment,Air Quality,0.3957982659339905,0.2783783376216888,0.03,0.9477872091450184,0.079920855583623,0.2018735465444958,dtr,4,0.188903272151947,0.0132159607163791,0.4137226641178131,0.057265584118124
prospective_predeployment,Air Quality,0.391827255487442,0.3633639812469482,0.03,0.8179634257158515,0.070292267226614,0.1728644802772578,dtr,5,0.1877325177192688,0.0165944023378964,0.5503164529800415,0.052664667868238
prospective_predeployment,Air Quality,0.5036525726318359,0.4759651124477386,0.03,0.7452524744619251,0.0889713276876136,0.2065343057580698,dtr,6,0.1573177129030227,0.0097826498849638,0.6608110070228577,0.0907193018560135
prospective_predeployment,Air Quality,0.3751613199710846,0.3024061620235443,0.03,0.8480890458912316,0.0781795204151421,0.1891648320995759,dtr,7,0.1923006325960159,0.0309436810427698,0.4552391171455383,0.0529608761485877
prospective_predeployment,Air Quality,0.4473299980163574,0.4836645126342773,0.03,0.7731016066592186,0.0763622588594444,0.1760084893881283,dtr,8,0.124285414814949,0.0236118725661573,0.6736920475959778,0.0754312768395719
prospective_predeployment,Air Quality,0.3586123287677765,0.29606494307518,0.03,0.7392511039222094,0.0729909370653331,0.1818023049934043,dtr,9,0.1366778165102005,0.0131914171679266,0.4102958142757416,0.0500769998207968
prospective_predeployment,Air Quality,0.441227912902832,0.5213238596916199,0.08,0.8639466665910842,0.0882408106466755,0.193690747402848,dtr,0,0.1561605632305145,0.0318880747104513,0.6871273517608643,0.0814230511855577
prospective_predeployment,Air Quality,0.4006403684616089,0.3306797444820404,0.08,0.6970596634097708,0.0809000482084229,0.1868048801550355,dtr,1,0.2260156273841858,0.0110838310471896,0.5099561214447021,0.0635010719153741
prospective_predeployment,Air Quality,0.4443807005882263,0.4598730206489563,0.08,0.7588707560525729,0.0837085084524005,0.1920203769412444,dtr,2,0.132840022444725,0.0094121761363128,0.5995623469352722,0.0801777630535258
prospective_predeployment,Air Quality,0.3970215618610382,0.380917340517044,0.08,0.6923747959952058,0.0750439927680417,0.1816428248582519,dtr,3,0.1436166763305664,0.0093419880702577,0.5506993532180786,0.0605230417279511
prospective_predeployment,Air Quality,0.4046209156513214,0.3257709443569183,0.08,0.9565361235728344,0.0790662623941898,0.1984355382764942,dtr,4,0.1959033608436584,0.0091925567594067,0.484687864780426,0.0567173150827918
prospective_predeployment,Air Quality,0.4411550462245941,0.4243073165416717,0.08,0.7702414013757766,0.0674746051663532,0.1507547559995322,dtr,5,0.1769409477710724,0.0100864176092476,0.5960322022438049,0.0681275654598907
prospective_predeployment,Air Quality,0.4998228847980499,0.459223598241806,0.08,0.7842254387621483,0.0896086136111989,0.2142171736120805,dtr,6,0.1575320959091186,0.0092916096078938,0.6706762909889221,0.0841374106415612
prospective_predeployment,Air Quality,0.3966116309165954,0.3437072932720184,0.08,0.8541133455408677,0.0787752046249807,0.1894770738621546,dtr,7,0.185536116361618,0.0344562160557714,0.4881472885608673,0.05483956594709
prospective_predeployment,Air Quality,0.4534798860549927,0.5020505785942078,0.08,0.7459005453556762,0.0748470202554017,0.1685021887031526,dtr,8,0.1254322677850723,0.0207273941615532,0.6766270399093628,0.0721445881794741
prospective_predeployment,Air Quality,0.3674337863922119,0.3048602640628814,0.08,0.7174323521070464,0.0711445751134306,0.1724631187185208,dtr,9,0.14235320687294,0.0084439682549443,0.4148413240909576,0.0551764265271123
