block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs,subspace,source
15,2005-01-26,0.0,1,standard,standard,0.20080718398094177,2.018606662750244,0.09262387454509735,0.37742125008249144,296,sensor_residual_target_orth_k2,subspace_ablation
16,2005-02-11,0.0,1,standard,standard,0.1700272262096405,1.3082793951034546,0.0578598752617836,0.09903267178993536,281,sensor_residual_target_orth_k2,subspace_ablation
17,2005-02-23,0.0,1,standard,standard,0.22736789286136627,0.8407312631607056,0.0769021213054657,0.0543566538725523,331,sensor_residual_target_orth_k2,subspace_ablation
18,2005-03-09,0.0,1,standard,standard,0.4190274178981781,2.808095932006836,0.032207928597927094,0.2539724891679814,320,sensor_residual_target_orth_k2,subspace_ablation
19,2005-03-23,0.0,1,standard,standard,0.17603157460689545,1.157148838043213,0.1397060751914978,0.18706551728537277,281,sensor_residual_target_orth_k2,subspace_ablation
0,2004-06-30,0.003,1,dtr,dtr,0.35345035791397095,0.0,0.0,0.0,332,sensor_residual_target_orth_k2,subspace_ablation
1,2004-07-14,0.003,1,dtr,dtr,0.46577954292297363,0.589765727519989,0.06991694122552872,0.024318763131945115,213,sensor_residual_target_orth_k2,subspace_ablation
2,2004-07-31,0.003,1,dtr,dtr,1.176926851272583,2.501310348510742,0.06035332754254341,0.3776038202326761,195,sensor_residual_target_orth_k2,subspace_ablation
3,2004-08-11,0.003,1,dtr,dtr,1.0045772790908813,1.4069782495498657,0.008617515675723553,0.017059128852353455,220,sensor_residual_target_orth_k2,subspace_ablation
4,2004-08-25,0.003,1,dtr,dtr,0.4485248327255249,1.578414797782898,0.1805877536535263,0.4499151147938869,166,sensor_residual_target_orth_k2,subspace_ablation
5,2004-09-08,0.003,1,dtr,dtr,0.39274752140045166,1.030644178390503,0.18040920794010162,0.19163560793650258,237,sensor_residual_target_orth_k2,subspace_ablation
6,2004-09-22,0.003,1,dtr,dtr,0.23692560195922852,1.0603092908859253,0.053749892860651016,0.06042862838618831,201,sensor_residual_target_orth_k2,subspace_ablation
7,2004-10-07,0.003,1,dtr,dtr,0.21264806389808655,2.3673222064971924,0.005830163601785898,0.03267348698274391,116,sensor_residual_target_orth_k2,subspace_ablation
8,2004-10-20,0.003,1,dtr,dtr,0.25696396827697754,0.7426848411560059,0.2621693015098572,0.14460754605785045,322,sensor_residual_target_orth_k2,subspace_ablation
9,2004-11-03,0.003,1,dtr,dtr,0.25544479489326477,4.305335521697998,0.044430211186409,0.8235545715268564,305,sensor_residual_target_orth_k2,subspace_ablation
10,2004-11-17,0.003,1,dtr,dtr,0.8946869373321533,1.8594954013824463,0.22594261169433594,0.7812469985214116,328,sensor_residual_target_orth_k2,subspace_ablation
11,2004-12-01,0.003,1,dtr,dtr,0.322007954120636,1.149946928024292,0.2392159402370453,0.31633388161336706,307,sensor_residual_target_orth_k2,subspace_ablation
12,2004-12-17,0.003,1,dtr,dtr,0.7815610766410828,1.5976122617721558,0.01042551826685667,0.02660972729486144,237,sensor_residual_target_orth_k2,subspace_ablation
13,2005-01-01,0.003,1,dtr,dtr,0.2921055853366852,1.4250354766845703,0.0728762075304985,0.1479916174160878,224,sensor_residual_target_orth_k2,subspace_ablation
14,2005-01-12,0.003,1,dtr,dtr,0.797971785068512,1.3407779932022095,0.007439016830176115,0.013373013635030408,279,sensor_residual_target_orth_k2,subspace_ablation
15,2005-01-26,0.003,1,dtr,dtr,0.20007775723934174,2.018606662750244,0.09269767254590988,0.3777219601732434,296,sensor_residual_target_orth_k2,subspace_ablation
16,2005-02-11,0.003,1,dtr,dtr,0.1729876697063446,1.3082793951034546,0.05771001800894737,0.09877617686891582,281,sensor_residual_target_orth_k2,subspace_ablation
17,2005-02-23,0.003,1,dtr,dtr,0.22984753549098969,0.8407312631607056,0.0770401656627655,0.05445422763542679,331,sensor_residual_target_orth_k2,subspace_ablation
18,2005-03-09,0.003,1,dtr,dtr,0.413674533367157,2.808095932006836,0.03541905805468559,0.27929353825979014,320,sensor_residual_target_orth_k2,subspace_ablation
19,2005-03-23,0.003,1,dtr,dtr,0.1875322163105011,1.157148838043213,0.14150843024253845,0.18947885886334404,281,sensor_residual_target_orth_k2,subspace_ablation
0,2004-06-30,0.01,1,dtr,dtr,0.4017193913459778,0.0,0.0,0.0,332,sensor_residual_target_orth_k2,subspace_ablation
1,2004-07-14,0.01,1,dtr,dtr,0.5371913909912109,0.589765727519989,0.07978913933038712,0.027752546748554884,213,sensor_residual_target_orth_k2,subspace_ablation
2,2004-07-31,0.01,1,dtr,dtr,1.3754541873931885,2.501310348510742,0.060803934931755066,0.3804230694525547,195,sensor_residual_target_orth_k2,subspace_ablation
3,2004-08-11,0.01,1,dtr,dtr,1.1278502941131592,1.4069782495498657,0.006469414569437504,0.01280677412055427,220,sensor_residual_target_orth_k2,subspace_ablation
4,2004-08-25,0.01,1,dtr,dtr,0.49824458360671997,1.578414797782898,0.18147845566272736,0.452134203788624,166,sensor_residual_target_orth_k2,subspace_ablation
5,2004-09-08,0.01,1,dtr,dtr,0.429802805185318,1.030644178390503,0.19051718711853027,0.2023725806053855,237,sensor_residual_target_orth_k2,subspace_ablation
6,2004-09-22,0.01,1,dtr,dtr,0.24878297746181488,1.0603092908859253,0.05602148175239563,0.06298247535554514,201,sensor_residual_target_orth_k2,subspace_ablation
7,2004-10-07,0.01,1,dtr,dtr,0.21779215335845947,2.3673222064971924,0.005381915718317032,0.030161409726271005,116,sensor_residual_target_orth_k2,subspace_ablation
8,2004-10-20,0.01,1,dtr,dtr,0.2729946970939636,0.7426848411560059,0.2808910608291626,0.1549341085404097,322,sensor_residual_target_orth_k2,subspace_ablation
9,2004-11-03,0.01,1,dtr,dtr,0.2527655363082886,4.305335521697998,0.04081065580248833,0.7564628043773373,305,sensor_residual_target_orth_k2,subspace_ablation
10,2004-11-17,0.01,1,dtr,dtr,0.9097729921340942,1.8594954013824463,0.21016453206539154,0.7266907673611711,328,sensor_residual_target_orth_k2,subspace_ablation
11,2004-12-01,0.01,1,dtr,dtr,0.325308233499527,1.149946928024292,0.23011477291584015,0.30429869874437987,307,sensor_residual_target_orth_k2,subspace_ablation
12,2004-12-17,0.01,1,dtr,dtr,0.8578199744224548,1.5976122617721558,0.009334602393209934,0.02382531186760542,237,sensor_residual_target_orth_k2,subspace_ablation
13,2005-01-01,0.01,1,dtr,dtr,0.2637508809566498,1.4250354766845703,0.05566730722784996,0.11304505425038872,224,sensor_residual_target_orth_k2,subspace_ablation
14,2005-01-12,0.01,1,dtr,dtr,0.7506701350212097,1.3407779932022095,0.005736191291362047,0.010311868638521586,279,sensor_residual_target_orth_k2,subspace_ablation
15,2005-01-26,0.01,1,dtr,dtr,0.2189130336046219,2.018606662750244,0.09163694083690643,0.37339971939482186,296,sensor_residual_target_orth_k2,subspace_ablation
16,2005-02-11,0.01,1,dtr,dtr,0.1605750322341919,1.3082793951034546,0.056229881942272186,0.09624278341391287,281,sensor_residual_target_orth_k2,subspace_ablation
17,2005-02-23,0.01,1,dtr,dtr,0.2555025815963745,0.8407312631607056,0.07125076651573181,0.05036211209656721,331,sensor_residual_target_orth_k2,subspace_ablation
18,2005-03-09,0.01,1,dtr,dtr,0.40592917799949646,2.808095932006836,0.028558993712067604,0.22519916793572856,320,sensor_residual_target_orth_k2,subspace_ablation
19,2005-03-23,0.01,1,dtr,dtr,0.17231962084770203,1.157148838043213,0.13513588905334473,0.18094606805703975,281,sensor_residual_target_orth_k2,subspace_ablation
0,2004-06-30,0.03,1,dtr,dtr,0.455790638923645,0.0,0.0,0.0,332,sensor_residual_target_orth_k2,subspace_ablation
1,2004-07-14,0.03,1,dtr,dtr,0.6457675099372864,0.589765727519989,0.09292275458574295,0.03232072826311576,213,sensor_residual_target_orth_k2,subspace_ablation
2,2004-07-31,0.03,1,dtr,dtr,1.5633163452148438,2.501310348510742,0.061119720339775085,0.38239879773958313,195,sensor_residual_target_orth_k2,subspace_ablation
3,2004-08-11,0.03,1,dtr,dtr,1.2986629009246826,1.4069782495498657,0.005476458929479122,0.01084113125500777,220,sensor_residual_target_orth_k2,subspace_ablation
4,2004-08-25,0.03,1,dtr,dtr,0.5522881746292114,1.578414797782898,0.17688852548599243,0.44069888261881945,166,sensor_residual_target_orth_k2,subspace_ablation
5,2004-09-08,0.03,1,dtr,dtr,0.45774945616722107,1.030644178390503,0.21592415869235992,0.22936056253252096,237,sensor_residual_target_orth_k2,subspace_ablation
6,2004-09-22,0.03,1,dtr,dtr,0.2602553963661194,1.0603092908859253,0.05489101633429527,0.06171154306120688,201,sensor_residual_target_orth_k2,subspace_ablation
7,2004-10-07,0.03,1,dtr,dtr,0.23563215136528015,2.3673222064971924,0.004476552363485098,0.025087559349294762,116,sensor_residual_target_orth_k2,subspace_ablation
8,2004-10-20,0.03,1,dtr,dtr,0.28560444712638855,0.7426848411560059,0.29213419556617737,0.16113560549277636,322,sensor_residual_target_orth_k2,subspace_ablation
9,2004-11-03,0.03,1,dtr,dtr,0.2586353123188019,4.305335521697998,0.03982323408126831,0.7381600403161028,305,sensor_residual_target_orth_k2,subspace_ablation
10,2004-11-17,0.03,1,dtr,dtr,0.9004976153373718,1.8594954013824463,0.20490199327468872,0.7084943651685601,328,sensor_residual_target_orth_k2,subspace_ablation
11,2004-12-01,0.03,1,dtr,dtr,0.3407883048057556,1.149946928024292,0.22426025569438934,0.29655681433735137,307,sensor_residual_target_orth_k2,subspace_ablation
12,2004-12-17,0.03,1,dtr,dtr,0.9198812246322632,1.5976122617721558,0.010799608193337917,0.027564541307232075,237,sensor_residual_target_orth_k2,subspace_ablation
13,2005-01-01,0.03,1,dtr,dtr,0.25026413798332214,1.4250354766845703,0.04512482509016991,0.0916361605112003,224,sensor_residual_target_orth_k2,subspace_ablation
14,2005-01-12,0.03,1,dtr,dtr,0.692857027053833,1.3407779932022095,0.006131319794803858,0.011022185469998816,279,sensor_residual_target_orth_k2,subspace_ablation
15,2005-01-26,0.03,1,dtr,dtr,0.21522372961044312,2.018606662750244,0.0826473981142044,0.3367693746944365,296,sensor_residual_target_orth_k2,subspace_ablation
16,2005-02-11,0.03,1,dtr,dtr,0.15227174758911133,1.3082793951034546,0.042406197637319565,0.07258223481255295,281,sensor_residual_target_orth_k2,subspace_ablation
17,2005-02-23,0.03,1,dtr,dtr,0.2723098695278168,0.8407312631607056,0.06003226712346077,0.042432550751790955,331,sensor_residual_target_orth_k2,subspace_ablation
18,2005-03-09,0.03,1,dtr,dtr,0.38942256569862366,2.808095932006836,0.024216851219534874,0.19095962552623702,320,sensor_residual_target_orth_k2,subspace_ablation
19,2005-03-23,0.03,1,dtr,dtr,0.16928958892822266,1.157148838043213,0.14509914815425873,0.19428680656827452,281,sensor_residual_target_orth_k2,subspace_ablation
0,2004-06-30,0.08,1,dtr,dtr,0.4458668828010559,0.0,0.0,0.0,332,sensor_residual_target_orth_k2,subspace_ablation
1,2004-07-14,0.08,1,dtr,dtr,0.6622285842895508,0.589765727519989,0.09425617009401321,0.03278452166330883,213,sensor_residual_target_orth_k2,subspace_ablation
2,2004-07-31,0.08,1,dtr,dtr,1.5848057270050049,2.501310348510742,0.06614580750465393,0.41384478077909076,195,sensor_residual_target_orth_k2,subspace_ablation
3,2004-08-11,0.08,1,dtr,dtr,1.3539903163909912,1.4069782495498657,0.004922020249068737,0.009743571210354247,220,sensor_residual_target_orth_k2,subspace_ablation
4,2004-08-25,0.08,1,dtr,dtr,0.5879005193710327,1.578414797782898,0.18569135665893555,0.4626301969940153,166,sensor_residual_target_orth_k2,subspace_ablation
5,2004-09-08,0.08,1,dtr,dtr,0.4841592013835907,1.030644178390503,0.21166929602622986,0.22484093072979788,237,sensor_residual_target_orth_k2,subspace_ablation
6,2004-09-22,0.08,1,dtr,dtr,0.26772186160087585,1.0603092908859253,0.04226548969745636,0.04751722160841022,201,sensor_residual_target_orth_k2,subspace_ablation
7,2004-10-07,0.08,1,dtr,dtr,0.26796185970306396,2.3673222064971924,0.0031459475867450237,0.01763056485969309,116,sensor_residual_target_orth_k2,subspace_ablation
8,2004-10-20,0.08,1,dtr,dtr,0.315519243478775,0.7426848411560059,0.2863353192806244,0.15793705682701906,322,sensor_residual_target_orth_k2,subspace_ablation
9,2004-11-03,0.08,1,dtr,dtr,0.2678695023059845,4.305335521697998,0.034702882170677185,0.6432496378851659,305,sensor_residual_target_orth_k2,subspace_ablation
10,2004-11-17,0.08,1,dtr,dtr,0.8987212777137756,1.8594954013824463,0.19009719789028168,0.6573034814700089,328,sensor_residual_target_orth_k2,subspace_ablation
11,2004-12-01,0.08,1,dtr,dtr,0.36698317527770996,1.149946928024292,0.20235493779182434,0.267589705234059,307,sensor_residual_target_orth_k2,subspace_ablation
12,2004-12-17,0.08,1,dtr,dtr,1.0610016584396362,1.5976122617721558,0.010096649639308453,0.025770334540381915,237,sensor_residual_target_orth_k2,subspace_ablation
13,2005-01-01,0.08,1,dtr,dtr,0.25835463404655457,1.4250354766845703,0.029312891885638237,0.05952645490619213,224,sensor_residual_target_orth_k2,subspace_ablation
14,2005-01-12,0.08,1,dtr,dtr,0.6504318714141846,1.3407779932022095,0.002674156567081809,0.004807292825138628,279,sensor_residual_target_orth_k2,subspace_ablation
15,2005-01-26,0.08,1,dtr,dtr,0.2551088035106659,2.018606662750244,0.07914102077484131,0.3224816834789389,296,sensor_residual_target_orth_k2,subspace_ablation
16,2005-02-11,0.08,1,dtr,dtr,0.1811535656452179,1.3082793951034546,0.04071284830570221,0.06968390660453257,281,sensor_residual_target_orth_k2,subspace_ablation
17,2005-02-23,0.08,1,dtr,dtr,0.32554957270622253,0.8407312631607056,0.05458962544798851,0.03858553346951286,331,sensor_residual_target_orth_k2,subspace_ablation
18,2005-03-09,0.08,1,dtr,dtr,0.38274866342544556,2.808095932006836,0.021817369386553764,0.17203874484983164,320,sensor_residual_target_orth_k2,subspace_ablation
19,2005-03-23,0.08,1,dtr,dtr,0.18199744820594788,1.157148838043213,0.14021511375904083,0.18774711658465246,281,sensor_residual_target_orth_k2,subspace_ablation
0,2004-06-30,0.0,1,standard,standard,0.3633093535900116,0.0,0.0,0.0,332,sensor_residual_target_orth_k3,subspace_ablation
1,2004-07-14,0.0,1,standard,standard,0.46581074595451355,0.589765727519989,0.06492885202169418,0.02258378792131944,213,sensor_residual_target_orth_k3,subspace_ablation
2,2004-07-31,0.0,1,standard,standard,1.1517995595932007,2.501310348510742,0.058177318423986435,0.36398950285391923,195,sensor_residual_target_orth_k3,subspace_ablation
3,2004-08-11,0.0,1,standard,standard,0.9711520671844482,1.4069782495498657,0.007894289679825306,0.015627439498058903,220,sensor_residual_target_orth_k3,subspace_ablation
