lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard
0.01,9,isotropic,isotropic,0.31292280554771423,0.05351619556032378,0.3806172013282776,0.05613721820536867,0.22176317870616913,0.1290404051542282,0.06164658996276558,0.1549753763055057,0.6180464529223259
0.03,0,isotropic,isotropic,0.3437036871910095,0.12340651216178104,0.3911634683609009,0.05072359762412233,0.23566694557666779,0.1591796725988388,0.06774016603594646,0.15393362764768365,0.671792776912037
0.03,1,isotropic,isotropic,0.3006880283355713,0.11368757938516551,0.41388237476348877,0.07382293213176032,0.1903868019580841,0.15175358951091766,0.059796777460724114,0.1407591542319644,0.5505842616054043
0.03,2,isotropic,isotropic,0.28602951765060425,0.10156849170553273,0.4185371398925781,0.0598346671313272,0.1872713416814804,0.14983892440795898,0.06512652062810957,0.15286622163389574,0.6605066826205045
0.03,3,isotropic,isotropic,0.29527992010116577,0.06686010689570986,0.42412009835243225,0.07492150241479452,0.20801840722560883,0.1438179612159729,0.05686010491335765,0.14470718199786364,0.6177256639380574
0.03,4,isotropic,isotropic,0.23628950119018555,0.07344318504991203,0.3719504773616791,0.06492613345179316,0.16763444244861603,0.14660610258579254,0.05735691117006354,0.1302352598927802,0.6050137950283629
0.03,5,isotropic,isotropic,0.38305437564849854,0.07154678476267848,0.4504997432231903,0.07044511799468181,0.25452929735183716,0.1490073949098587,0.05224613924510777,0.12190157540929684,0.5987982894807794
0.03,6,isotropic,isotropic,0.4419284760951996,0.0758665816537265,0.48738962411880493,0.06638491735067797,0.2820035517215729,0.1523781716823578,0.06694269558647648,0.1491230212838909,0.6708120673831957
0.03,7,isotropic,isotropic,0.2853362560272217,0.11940492761546168,0.38575831055641174,0.051304014363683106,0.1909937858581543,0.13821540772914886,0.06493003885261714,0.14896047974016477,0.730080434193335
0.03,8,isotropic,isotropic,0.36467933654785156,0.06619445373272073,0.4772705137729645,0.07647508657474134,0.24071507155895233,0.15048028528690338,0.06028787945397198,0.14958091054388983,0.5987355331391734
0.03,9,isotropic,isotropic,0.24697941541671753,0.08200916915104307,0.38984736800193787,0.05961348827608198,0.18915200233459473,0.155868798494339,0.0540453810361214,0.13504818725341647,0.5597868247459815
0.08,0,isotropic,isotropic,0.18549388647079468,0.10744628577396788,0.372231125831604,0.06757039253873004,0.1534252166748047,0.2946963608264923,0.06290286239236594,0.1634886963863024,0.677385740527429
0.08,1,isotropic,isotropic,0.25911980867385864,0.10211440612529886,0.42850354313850403,0.07544147663140179,0.17096753418445587,0.1550707221031189,0.05763971065171063,0.13584967935131204,0.5639516199879324
0.08,2,isotropic,isotropic,0.21365481615066528,0.0960967754495555,0.41591140627861023,0.07816983207268316,0.15573625266551971,0.164155974984169,0.05227118374314159,0.12364279886253593,0.553149852142292
0.08,3,isotropic,isotropic,0.2268592119216919,0.08096729147023168,0.41801708936691284,0.08595263104243464,0.16536438465118408,0.15616966784000397,0.04735154645750299,0.11943341786478616,0.551741750286996
0.08,4,isotropic,isotropic,0.17772798240184784,0.08554833757466283,0.3688882291316986,0.07602635057909535,0.13971559703350067,0.15952400863170624,0.04889380261884071,0.11287632719347078,0.5572840420747898
0.08,5,isotropic,isotropic,0.3306341767311096,0.083858087145049,0.4493599534034729,0.08415372354220707,0.21074658632278442,0.177193284034729,0.04636139472713694,0.10959593321388472,0.5417998679791738
0.08,6,isotropic,isotropic,0.2941655218601227,0.08457899586907748,0.46406885981559753,0.08385373737428799,0.19368073344230652,0.1613777130842209,0.05200667274184525,0.11983924495459959,0.543578376517397
0.08,7,isotropic,isotropic,0.2056637555360794,0.1090262511680866,0.42553630471229553,0.08144123745200178,0.1561899334192276,0.14299048483371735,0.057771477452479306,0.14205912634810297,0.6221558597675392
0.08,8,isotropic,isotropic,0.22577762603759766,0.09096630359518117,0.41121935844421387,0.07462414067986102,0.15819910168647766,0.15426596999168396,0.05783493779599667,0.14258324039634193,0.5843883926614237
0.08,9,isotropic,isotropic,0.2347124069929123,0.1112381096543937,0.39633238315582275,0.06188017124268783,0.18625611066818237,0.20570412278175354,0.04957973264390603,0.11519856172627171,0.5333584186959067
0.0,0,standard,standard,0.576192319393158,0.1168078323890423,0.4578133225440979,0.08978220097967829,0.4284462034702301,0.15107622742652893,0.08612318128580228,0.1926075782898522,0.8977176161331512
0.0,1,standard,standard,0.5339024662971497,0.05658785351391497,0.4437616765499115,0.08649754307718685,0.3633093535900116,0.17603157460689545,0.08767702484037727,0.21203363552132476,0.7907218189751611
